Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
Limitless,2015,7.7,57,True,False,False,False
Messiah,2020,7.7,44,True,False,False,False
The Shannara Chronicles,2016,7.2,77,True,False,False,False
Crash Landing on You,2019,8.8,0,True,False,False,False
Bleach,2004,8.1,0,True,True,False,False
Top Boy,2011,8.4,95,True,False,False,False
Jonathan Strange & Mr Norrell,2015,8.2,91,True,False,False,False
Haven,2010,7.5,63,True,False,False,False
Queen of the South,2016,7.9,66,True,False,False,False
Delhi Crime,2019,8.5,91,True,False,False,False
Hart of Dixie,2011,7.7,81,True,False,False,False
Bloodline,2015,8.0,62,True,False,False,False
Middleditch & Schwartz,2020,8.7,100,True,False,False,False
Haikyu!!,2014,8.7,0,True,True,False,False
Dirty Money,2018,8.1,100,True,False,False,False
Don't F**k with Cats: Hunting an Internet Killer,2019,8.1,67,True,False,False,False
Babylon Berlin,2017,8.4,0,True,False,False,False
That '70s Show,1998,8.1,0,True,False,False,False
The Magicians,2015,7.6,0,True,False,False,False
Chef's Table,2015,8.6,100,True,False,False,False
TURN: Washington's Spies,2014,8.1,81,True,False,False,False
Crazy Ex-Girlfriend,2015,7.8,98,True,False,False,False
Soul Eater,2008,7.8,100,True,True,False,False
Lost Girl,2010,7.7,65,True,False,False,False
Wynonna Earp,2016,7.4,93,True,False,False,False
Merlin,2008,7.9,0,True,True,True,False
Galavant,2015,8.1,89,True,False,False,False
Travelers,2016,8.1,0,True,False,False,False
Hilda,2018,8.6,100,True,False,False,False
The Originals,2013,8.2,27,True,False,False,False
Episodes,2011,7.8,80,True,False,False,False
Absolutely Fabulous,1992,8.1,96,True,True,False,False
Living with Yourself,2019,7.2,84,True,False,False,False
Malcolm in the Middle,2000,8.0,0,True,True,False,False
F is for Family,2015,8.0,86,True,False,False,False
The Keepers,2017,8.1,96,True,False,False,False
Cheer,2020,8.2,96,True,False,False,False
Disenchantment,2018,7.2,68,True,False,False,False
Dead Set,2008,7.7,90,True,False,False,False
Ezel,2009,8.6,0,True,False,False,False
Nurse Jackie,2009,7.7,81,True,False,False,False
Case Closed,1996,8.4,0,True,True,False,False
Imposters,2017,7.8,100,True,False,False,False
Queer as Folk,1999,8.2,100,True,False,True,False
Heartland,2007,8.4,45,True,False,True,False
The Staircase,2005,7.9,93,True,False,False,False
Madam Secretary,2014,7.6,68,True,False,False,False
Chewing Gum,2015,7.7,100,True,False,False,False
Glee,2009,6.7,71,True,False,False,False
Fairy Tail,2009,8.0,0,True,True,False,False
The Order,2019,6.9,100,True,False,False,False
Legacies,2018,7.5,0,True,False,False,False
North & South,2004,8.6,0,True,False,False,False
Helix,2014,6.8,81,True,False,False,False
Safe,2018,7.3,77,True,False,False,False
Evil Genius,2018,7.6,80,True,False,False,False
Marvel's Iron Fist,2017,6.5,37,True,False,False,False
Lilyhammer,2012,8.0,65,True,False,False,False
Voltron: Legendary Defender,2016,8.1,100,True,False,False,False
Blue Mountain State,2010,8.3,0,True,False,False,False
Pokémon,1997,7.5,0,True,True,True,False
Cheers,1982,7.8,0,True,True,True,False
Marianne,2019,7.5,93,True,False,False,False
Star Trek: Enterprise,2001,7.5,50,True,True,True,False
Portlandia,2011,7.8,94,True,False,False,False
Better Than Us,2018,7.4,100,True,False,False,False
Five Came Back,2017,8.3,97,True,False,False,False
American Crime,2015,7.8,97,True,False,False,False
Skins,2007,8.2,0,True,False,False,False
Glitch,2015,7.4,80,True,False,False,False
GHOUL,2018,7.1,83,True,False,False,False
JoJo's Bizarre Adventure,2012,8.4,0,True,True,False,False
The Society,2019,7.0,85,True,False,False,False
Code Geass: Lelouch of the Rebellion,2006,8.6,0,True,False,False,False
Dracula,2020,6.8,74,True,False,False,False
Quantico,2015,6.7,82,True,False,False,False
The Innocence Files,2020,8.0,100,True,False,False,False
Medici: Masters of Florence,2016,7.9,0,True,False,False,False
She-Ra and the Princesses of Power,2018,7.3,97,True,False,False,False
Versailles,2015,7.9,66,True,False,False,False
Rise of Empires: Ottoman,2020,8.0,0,True,False,False,False
The Mechanism,2018,8.4,80,True,False,False,False
Everything Sucks!,2018,7.5,72,True,False,False,False
Raising Dion,2019,7.2,82,True,False,False,False
All American,2018,7.7,96,True,False,False,False
Fullmetal Alchemist,2003,8.6,0,True,False,False,False
The Rain,2018,6.3,82,True,False,False,False
ERASED,2016,8.5,0,True,True,False,False
Nailed It!,2018,7.4,98,True,False,False,False
Last Tango in Halifax,2012,8.3,98,True,False,False,False
Star-Crossed,2014,7.3,57,True,False,False,False
The Politician,2019,7.5,57,True,False,False,False
Documentary Now!,2015,8.1,94,True,False,False,False
Baby,2018,6.8,80,True,False,False,False
Secret City,2016,7.4,100,True,False,False,False
Abstract: The Art of Design,2017,8.4,100,True,False,False,False
Shooter,2016,7.5,44,True,False,False,False
Marcella,2016,7.4,65,True,False,False,False
The Chef Show,2019,8.2,100,True,False,False,False
Rurouni Kenshin,1996,8.5,0,True,True,True,False
The Seven Deadly Sins,2014,8.1,0,True,False,False,False
InuYasha,2000,7.9,0,True,True,False,False
Yeh Meri Family,2018,9.2,0,True,False,False,False
The Circle,2020,7.5,80,True,False,False,False
The Devil Next Door,2019,7.6,91,True,False,False,False
Flowers,2016,8.2,100,True,False,False,False
Descendants of the Sun,2016,8.4,0,True,True,True,False
The Hollow,2018,7.2,100,True,False,False,False
Frontier,2016,7.2,75,True,False,False,False
Your Lie in April,2014,8.6,0,True,True,False,False
Ancient Aliens,2010,7.3,0,True,True,True,False
Sword Art Online,2012,7.6,0,True,True,False,False
Frequency,2016,7.5,77,True,False,False,False
Wentworth,2013,8.6,0,True,False,False,False
Beauty and the Beast,2012,7.0,51,True,False,True,False
Cold Justice,2013,7.9,80,True,False,False,False
Hyperdrive,2019,8.1,100,True,False,False,False
Time: The Kalief Browder Story,2017,8.5,100,True,False,False,False
The Toys That Made Us,2017,8.1,100,True,False,False,False
Seven Seconds,2018,7.7,77,True,False,False,False
Spinning Out,2020,7.7,63,True,False,False,False
Killer Inside: The Mind of Aaron Hernandez,2020,7.4,75,True,False,False,False
El internado,2007,8.2,0,True,False,False,False
Frozen Planet,2011,9.0,0,True,False,False,False
London Spy,2015,7.5,86,True,False,False,False
Parasyte -the maxim-,2014,8.4,0,True,True,False,False
Containment,2016,7.2,50,True,False,False,False
Black Lightning,2018,6.1,95,True,False,False,False
Merlí,2015,8.6,0,True,False,False,False
Derek,2013,8.0,68,True,False,False,False
Last Chance U,2016,8.5,93,True,False,False,False
Mars,2016,7.5,61,True,False,False,False
Love is Blind,2020,6.0,73,True,False,False,False
Love 101,2020,7.7,0,True,False,False,False
3%,2016,7.4,33,True,False,False,False
Zoo,2015,6.8,82,True,False,False,False
Daybreak,2019,6.7,70,True,False,False,False
Hemlock Grove,2013,7.1,38,True,False,False,False
Trailer Park Boys,2001,8.4,0,True,False,False,False
Private Practice,2007,6.6,51,True,True,False,False
Ragnarok,2020,7.5,0,True,False,False,False
Akame ga Kill!,2014,7.9,0,True,True,False,False
Insatiable,2018,6.6,11,True,False,False,False
No Tomorrow,2016,7.2,88,True,False,False,False
The Ranch,2016,7.5,0,True,False,False,False
Ramayan,1987,9.3,0,True,False,False,False
Surviving R. Kelly,2019,7.6,95,True,False,False,False
Easy,2016,6.9,90,True,False,False,False
Self Made: Inspired by the Life of Madam C.J. Walker,2020,7.4,77,True,False,False,False
Knightfall,2017,6.8,60,True,False,False,False
Kim's Convenience,2016,8.1,0,True,False,False,False
Kengan Ashura,2019,8.0,0,True,False,False,False
Spotless,2015,7.9,100,True,False,False,False
Carmen Sandiego,2019,7.9,93,True,False,False,False
Inside Bill's Brain: Decoding Bill Gates,2019,8.0,50,True,False,False,False
Saint Seiya,1986,8.4,0,True,False,True,False
Flint Town,2018,8.0,95,True,False,False,False
Rake,2010,8.6,100,True,True,True,False
Rilakkuma and Kaoru,2019,8.4,100,True,False,False,False
Scooby-Doo! Mystery Incorporated,2010,8.0,0,True,False,False,False
anohana: The Flower We Saw That Day,2011,8.2,0,True,False,False,False
Africa,2013,9.0,0,True,False,False,False
The Frankenstein Chronicles,2015,7.3,78,True,False,False,False
Meteor Garden,2018,8.2,0,True,False,False,False
Wu Assassins,2019,6.4,83,True,False,False,False
The Black Donnellys,2007,8.1,40,True,False,False,False
H2O: Just Add Water,2006,7.2,0,True,True,True,False
Collateral,2018,6.7,78,True,False,False,False
1983,2018,6.8,100,True,False,False,False
November 13: Attack on Paris,2018,8.3,100,True,False,False,False
Black Butler,2008,7.8,0,True,True,False,False
Green Eggs and Ham,2019,8.2,100,True,False,False,False
The Confession Tapes,2017,7.5,100,True,False,False,False
Bad Blood,2017,7.5,80,True,False,False,False
Formula 1: Drive to Survive,2019,8.6,0,True,False,False,False
The Great British Bake Off,2010,8.6,0,True,False,False,False
The Trials of Gabriel Fernandez,2020,8.2,80,True,False,False,False
Ugly Delicious,2018,7.8,100,True,False,False,False
The Night Shift,2014,7.4,30,True,False,False,False
Impractical Jokers,2011,8.5,0,True,False,False,False
The Andy Griffith Show,1960,8.3,0,True,False,True,False
Itaewon Class,2020,8.2,0,True,False,False,False
Aquarius,2015,7.1,77,True,False,False,False
Caliphate,2020,8.2,0,True,False,False,False
Black Summer,2019,6.4,75,True,False,False,False
Bonding,2019,7.2,64,True,False,False,False
Miraculous: Tales of Ladybug & Cat Noir,2015,7.8,0,True,False,False,False
Animaniacs,1993,7.9,0,True,True,False,False
When Calls the Heart,2014,8.2,0,True,False,False,False
